label,message
ham,Hey how are you doing today
spam,Congratulations you won a free iPhone click here
ham,Let's meet tomorrow for lunch
spam,Limited time offer buy now and save money
ham,Call me when you reach home
spam,Win cash prize now claim reward
ham,Are you coming to class today
spam,You have been selected for a lottery
ham,Good morning have a great day
spam,Free entry in contest click now
ham,Please send me the notes
spam,Act now limited offer available
ham,See you at the meeting
spam,You won 10000 rupees claim now
ham,Can we talk later
spam,Get free recharge now
ham,Thanks for your help
spam,Exclusive deal just for you click here
ham,What time is the event
spam,Your account has been selected for reward
